AFREC,official
Algeria,Algeria
Angola,Angola
Benin,Benin
Bostwana,Botswana
Burkina Faso,Burkina Faso
Burundi,Burundi
Cameroon,Cameroon
Cape Verde,Cape Verde
Central Africa Republic,Central African Republic
Chad,Chad
Comoros,Comoros
Congo,Republic of the Congo
Cote d Ivoire,Cote d'Ivoire
Democratic Republic of Congo,Democratic Republic of the Congo
Djibouti,Djibouti
Egypt,Egypt
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Eswatini,Eswatini
Ethiopia,Ethiopia
Gabon,Gabon
Gambia,The Gambia
Ghana,Ghana
Guinea,Guinea
Guinea Bissau,Guinea-Bissau
Kenya,Kenya
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Madagascar,Madagascar
Malawi,Malawi
Mali,Mali
Mauritania,Mauritania
Mauritius,Mauritius
Morocco,Morocco
Mozambique,Mozambique
Namibia,Namibia
Niger,Niger
Nigeria,Nigeria
Rwanda,Rwanda
Sahrawi Republic,Western Sahara
Sao Tome and Principe,Sao Tome and Principe
Senegal,Senegal
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Somalia,Somalia
Somaliland,Somaliland
South Africa,South Africa
South sudan,South Sudan
Sudan,Sudan
Tanzania,Tanzania
Togo,Togo
Tunisia,Tunisia
Uganda,Uganda
Zambia,Zambia
Zimbabwe,Zimbabwe
AFRICA,Africa
NORTHERN AFRICA,Northern
EASTERN AFRICA,Eastern
WESTERN AFRICA,Western
CENTRAL AFRICA,Central
SOUTHERN AFRICA,Southern
